lat,lng,count
75,103.64,0
74.51,103,0
74.93,102,0
75,101.58,0
73.09,102,0
73.31,103,0
73,103.24,0
72.85,102,0
73.09,102,0
74,-95,0
73,-94.27,0
72.24,-95,0
73,-95.56,0
74,-95,0
73.27,-15,0
73.55,-14,0
73.46,-13,0
73,-12,0
72.85,-13,0
72.71,-14,0
72.74,-15,0
73,-15.56,0
73.27,-15,0
72.17,-88,0
72.1,-87,0
71.93,-88,0
72.17,-88,0
-49.08,0,3
-48.77,-1,3
-48.71,-2,3
-48.59,-3,3
-48,-3.66,3
-47.6,-4,3
-47,-4.58,3
-46.86,-5,3
-46.86,-6,3
-46.35,-7,3
-46.42,-8,3
-46.75,-9,3
-47,-9.54,3
-48,-9.94,3
-49,-10.87,3
-49.34,-12,3
-49.26,-13,3
-49,-13.84,3
-48.31,-13,3
-48,-12.86,3
-48,-14,3
-48.79,-15,3
-48.99,-16,3
-48.96,-17,3
-48.8,-18,3
-48.61,-19,3
-48.37,-20,3
-48.99,-21,3
-49.75,-22,3
-50,-22.57,3
-50.16,-23,3
-50,-23.41,3
-49.36,-24,3
-49,-24.14,3
-48,-24.74,3
-47.81,-25,3
-47.9,-26,3
-47.65,-27,3
-47.73,-28,3
-47.98,-29,3
-49,-28.57,3
-49.27,-29,3
-49,-29.75,3
-48.74,-30,3
-49,-30.22,3
-49.2,-31,3
-49.49,-32,3
-49.28,-33,3
-49,-33.51,3
-48.79,-34,3
-48.77,-35,3
-48.87,-36,3
-49.72,-37,3
-49.79,-38,3
-49.31,-39,3
-49.21,-40,3
-49.21,-41,3
-49.34,-42,3
-49.46,-43,3
-49.78,-44,3
-50,-44.85,3
-50.56,-45,3
-50.75,-46,3
-50.71,-47,3
-50.48,-48,3
-50,-48.61,3
-49.9,-49,3
-49.87,-50,3
-49.85,-51,3
-49.9,-52,3
-51,-52.46,3
-52,-52.11,3
-52.25,-52,3
-52.34,-51,3
-52,-50.7,3
-51,-50.57,3
-50.5,-50,3
-50.62,-49,3
-51,-48.73,3
-51.3,-48,3
-51.43,-47,3
-52,-46.48,3
-52.28,-47,3
-52.74,-48,3
-53,-48.44,3
-53.32,-49,3
-53.93,-50,3
-54.55,-51,3
-54.3,-52,3
-54.11,-53,3
-54.38,-54,3
-55,-54.47,3
-56,-54.51,3
-56.13,-55,3
-56.2,-56,3
-56.24,-57,3
-56.03,-58,3
-55.57,-59,3
-55.42,-60,3
-55.47,-61,3
-55.91,-62,3
-56.31,-63,3
-56.66,-64,3
-57,-64.41,3
-57.76,-65,3
-58,-65.19,3
-58.33,-66,3
-58.25,-67,3
-58.17,-68,3
-58.43,-69,3
-59,-69.86,3
-59,-70.39,3
-58.64,-71,3
-58.3,-72,3
-58.55,-73,3
-58.76,-74,3
-58.59,-75,3
-58.3,-76,3
-58.1,-77,3
-58.13,-78,3
-58.49,-79,3
-59,-79.73,3
-59.3,-81,3
-59.23,-82,3
-59.19,-83,3
-59.14,-84,3
-59.11,-85,3
-59.05,-86,3
-58.8,-87,3
-58.43,-88,3
-58.23,-89,3
-58.22,-90,3
-58.3,-91,3
-58.36,-92,3
-58.25,-93,3
-58,-93.85,3
-57.85,-95,3
-57.97,-96,3
-58.17,-97,3
-58.31,-98,3
-58.21,-99,3
-58,-99.42,3
-57.7,-100,3
-57.28,-101,3
-57.16,-102,3
-57.42,-103,3
-57.83,-104,3
-58,-104.42,3
-58.14,-105,3
-58.06,-106,3
-57.72,-107,3
-57.31,-108,3
-57.36,-109,3
-57.78,-110,3
-58,-110.96,3
-57.87,-112,3
-57.56,-113,3
-57.29,-114,3
-57.08,-115,3
-56.59,-116,3
-56.27,-117,3
-56.34,-118,3
-56.54,-119,3
-56.71,-120,3
-56.81,-121,3
-56.86,-122,3
-56.95,-123,3
-57.14,-124,3
-57.25,-125,3
-57,-125.96,3
-56,-126.62,3
-55.82,-127,3
-55.54,-128,3
-55.46,-129,3
-55.53,-130,3
-55.35,-131,3
-55,-131.31,3
-54.73,-132,3
-54.44,-133,3
-54.33,-134,3
-54.52,-135,3
-55,-135.8,3
-55.48,-137,3
-55.64,-138,3
-55.86,-139,3
-56.24,-140,3
-56.32,-141,3
-56.21,-142,3
-56,-142.77,3
-55.44,-144,3
-55.1,-145,3
-54.62,-146,3
-54.62,-147,3
-54.48,-148,3
-54.2,-149,3
-54.07,-150,3
-54,-150.74,3
-54,-151.25,3
-54.08,-152,3
-54.5,-153,3
-54.81,-154,3
-54.84,-155,3
-54.66,-156,3
-54.6,-157,3
-54.68,-158,3
-54.68,-159,3
-54.72,-160,3
-54.81,-161,3
-54.79,-162,3
-54.67,-163,3
-54.81,-164,3
-55,-164.56,3
-56,-164.62,3
-56.41,-165,3
-56.63,-166,3
-56.56,-167,3
-56.8,-168,3
-57.64,-169,3
-57,-169.96,3
-56,-169.47,3
-55.95,-170,3
-56.15,-171,3
-56.93,-172,3
-58,-172.82,3
-58.22,-174,3
-58.33,-175,3
-58.55,-176,3
-58.57,-177,3
-58.45,-178,3
-58.45,-179,3
-58.88,180,3
-58.78,179,3
-58.11,178,3
-58.37,177,3
-58.77,176,3
-59,175.13,3
-59.2,174,3
-59.56,173,3
-60,172.36,3
-60.21,171,3
-60.02,170,3
-59.47,169,3
-59.12,168,3
-59.22,167,3
-59.16,166,3
-59,165.57,3
-58.82,165,3
-58.15,164,3
-57,163.45,3
-56.43,163,3
-56.13,162,3
-56,161.28,3
-56,160.72,3
-56.51,160,3
-57,159.6,3
-57.27,159,3
-57,158.53,3
-56.67,158,3
-56.3,157,3
-56.34,156,3
-56.15,155,3
-56,154.63,3
-55.81,154,3
-55.58,153,3
-55.38,152,3
-55.14,151,3
-55.07,150,3
-54.86,149,3
-54.55,148,3
-54.22,147,3
-54,146.56,3
-53.31,146,3
-53,145.18,3
-52.89,144,3
-52.95,143,3
-52.88,142,3
-52.67,141,3
-53,140.53,3
-54,140.16,3
-54.63,139,3
-54.53,138,3
-54.26,137,3
-54.02,136,3
-53.8,135,3
-53.93,134,3
-54.47,133,3
-54.64,132,3
-54,131.01,3
-53,130.61,3
-52.72,130,3
-53,129.11,3
-54,128.62,3
-54.38,128,3
-54.5,127,3
-54.23,126,3
-54,125.6,3
-53.37,126,3
-53,126.18,3
-52.73,125,3
-52.72,124,3
-52.74,123,3
-52.75,122,3
-52,121.41,3
-51.31,122,3
-51,122.25,3
-50.79,121,3
-51,120.16,3
-51.54,119,3
-51.48,118,3
-51,117.29,3
-50.61,117,3
-50,116.38,3
-49.84,116,3
-50,115.35,3
-50.41,114,3
-50.28,113,3
-50,112.33,3
-49.61,112,3
-49.67,111,3
-50,110.32,3
-50.33,110,3
-51,109.25,3
-51,108.51,3
-50.92,108,3
-50.59,107,3
-50.25,106,3
-50.5,105,3
-51,104.47,3
-51.24,104,3
-51.27,103,3
-51.2,102,3
-51.22,101,3
-51.25,100,3
-51.02,99,3
-50,99.85,3
-49.66,99,3
-49.86,98,3
-51,97.77,3
-51.51,97,3
-52,96.17,3
-52.26,95,3
-52.4,94,3
-52.35,93,3
-52.21,92,3
-52.04,91,3
-51.89,90,3
-51.91,89,3
-51.41,88,3
-51,87.8,3
-50.6,87,3
-50.84,86,3
-52,85.13,3
-53,85.26,3
-53,84.75,3
-52.58,84,3
-52.02,83,3
-51.58,82,3
-51.09,81,3
-50,80.68,3
-49.68,80,3
-50,79.19,3
-50,78.56,3
-49.86,78,3
-49,77.29,3
-48.74,77,3
-48.96,76,3
-49.1,75,3
-48.44,74,3
-48,73.54,3
-47.8,73,3
-47.59,72,3
-48,71.44,3
-49,71.54,3
-50,71.19,3
-50.41,70,3
-50.39,69,3
-50.14,68,3
-50,67.67,3
-49.73,67,3
-49.38,66,3
-49,65.44,3
-48.13,65,3
-47.87,64,3
-48,63.64,3
-48.47,63,3
-48.51,62,3
-48.86,61,3
-48.97,60,3
-48.92,59,3
-48.84,58,3
-48.73,57,3
-48.67,56,3
-48.82,55,3
-49,54.6,3
-49.19,54,3
-49.3,53,3
-49.15,52,3
-49,51.51,3
-48.82,51,3
-48.49,50,3
-48.45,49,3
-48.95,48,3
-48.83,47,3
-48.68,46,3
-48.67,45,3
-48.73,44,3
-48.51,43,3
-48.14,42,3
-48.62,41,3
-49,40.43,3
-49.13,40,3
-49.23,39,3
-49,38.07,3
-48.52,37,3
-48,36.15,3
-47.92,35,3
-49,34.19,3
-49.39,34,3
-49.67,33,3
-49.42,32,3
-49.2,31,3
-49.36,30,3
-49.57,29,3
-49.34,28,3
-49.03,27,3
-48.55,26,3
-48.67,25,3
-48.67,24,3
-48.04,23,3
-47.3,22,3
-48,21.03,3
-48.43,20,3
-48,19.6,3
-47.81,19,3
-47.7,18,3
-47.94,17,3
-48.42,16,3
-49,15.36,3
-49.19,15,3
-49,14.06,3
-48.47,13,3
-48.15,12,3
-48.58,11,3
-49,10.68,3
-49.23,10,3
-49,9.5,3
-48.71,9,3
-48.35,8,3
-48.31,7,3
-48.44,6,3
-48.62,5,3
-48.75,4,3
-48.6,3,3
-48.43,2,3
-49,1.28,3
-49.08,0,3
-48.77,-1,3
70.79,153,3
70,153.16,3
70.79,153,3
69.06,69,3
68.86,70,3
68.33,71,3
68.08,72,3
67.08,73,3
67,73.94,3
66.9,73,3
66,72.59,3
65.63,72,3
65.58,71,3
65.49,70,3
65.39,69,3
65.25,68,3
65.09,67,3
64.85,66,3
64.98,65,3
65.65,64,3
66,63.63,3
67,63.93,3
68,64.48,3
68.69,65,3
68.58,66,3
68.56,67,3
68.67,68,3
69,68.92,3
69.06,69,3
68.47,87,3
68.6,88,3
68.56,89,3
68,89.76,3
67,89.17,3
66.25,88,3
66,87.57,3
65.8,87,3
67,86.5,3
68,86.54,3
68.47,87,3
67,-140,3
67,-140,3
67.07,-109,3
67.07,-109,3
65.21,-42,3
65.38,-41,3
65,-40.55,3
64.69,-41,3
64.1,-42,3
65,-42.75,3
65.21,-42,3
51.07,-80,3
51.07,-80,3
-13.95,-71,3
-13.37,-70,3
-13.75,-69,3
-14,-68.26,3
-14.4,-68,3
-15,-67.69,3
-15.31,-68,3
-15.02,-69,3
-14.67,-70,3
-14.1,-71,3
-13.95,-71,3
-15.99,-67,3
-17,-66.49,3
-17.76,-66,3
-18,-65.9,3
-18.47,-67,3
-18,-67.65,3
-17,-67.59,3
-16,-67.01,3
-15.99,-67,3
-16.96,-69,3
-16.96,-69,3
75,-9.59,3
74.03,-10,3
73,-9.5,3
72.61,-11,3
72.3,-12,3
72,-12.77,3
71.52,-14,3
71.14,-15,3
70.69,-16,3
70.21,-17,3
70,-17.67,3
69.83,-19,3
70.57,-20,3
71,-20.34,3
71.5,-21,3
71,-21.74,3
70.76,-23,3
71,-23.57,3
71.75,-24,3
71.87,-25,3
72.54,-25,3
73,-24.46,3
73.21,-25,3
73.36,-26,3
73.72,-27,3
74,-27.31,3
75,-27.68,3
-49,-54,3
-49,-54,3
-56.47,-54,3
-57,-53.37,3
-57.08,-54,3
-56.47,-54,3
75,-29.16,3
74,-29.36,3
73,-29.51,3
72,-29.61,3
71,-29.74,3
70,-29.75,3
69,-29.23,3
68.82,-30,3
68.98,-31,3
70,-31.84,3
71,-32.36,3
72,-32.89,3
71,-33.89,3
70,-34.36,3
69,-34.74,3
68.19,-35,3
67.06,-36,3
66.97,-37,3
67,-37.94,3
67.8,-39,3
68.39,-40,3
68.92,-41,3
69.41,-42,3
69.85,-43,3
70.26,-44,3
70.63,-45,3
70.98,-46,3
71.39,-47,3
71.99,-48,3
72.64,-49,3
72,-49.96,3
73,-50.29,3
74,-50.62,3
74.96,-51,3
75,-51.02,3
75,-65.56,3
74.6,-67,3
74.21,-68,3
74,-68.52,3
73.7,-69,3
73.29,-70,3
73,-70.79,3
72,-70.98,3
71.85,-70,3
71.45,-69,3
71,-68.77,3
70,-68.01,3
69,-68.5,3
68.67,-68,3
68.36,-67,3
68,-66.21,3
67.74,-65,3
67.48,-64,3
67.15,-63,3
67.23,-62,3
67,-61.35,3
66.23,-62,3
65.28,-63,3
65,-63.53,3
64.58,-64,3
64,-64.55,3
63,-64.96,3
62.27,-66,3
62,-66.33,3
61.42,-67,3
61,-67.76,3
60.73,-68,3
60.32,-69,3
60,-69.26,3
59,-69.27,3
58.56,-70,3
59,-70.35,3
59.37,-71,3
60,-71.9,3
60.5,-73,3
61,-73.86,3
61.4,-75,3
61.79,-76,3
62,-76.64,3
62.5,-78,3
62.66,-79,3
62.87,-80,3
63.18,-81,3
63.45,-82,3
63.89,-83,3
64.26,-84,3
64.58,-85,3
65,-86,3
65.46,-87,3
65.61,-88,3
65.85,-89,3
65.89,-90,3
65.68,-91,3
65.16,-92,3
64.57,-93,3
64,-94,3
63.63,-95,3
63.38,-96,3
63.19,-97,3
63,-97.44,3
62.74,-98,3
62.3,-99,3
62,-99.48,3
61.33,-100,3
61,-100.46,3
60.72,-100,3
60,-99.48,3
59,-99.12,3
58.53,-100,3
58,-100.81,3
57.28,-102,3
57.28,-103,3
58,-103.81,3
59,-103.19,3
60,-103.11,3
60.81,-104,3
61.54,-105,3
62,-105.76,3
63,-106.76,3
63.69,-107,3
64,-107.09,3
65,-107.02,3
66,-107.77,3
67,-107.63,3
67.96,-108,3
68.49,-109,3
68.49,-110,3
68.76,-111,3
68.88,-112,3
68.97,-113,3
69.62,-114,3
69.65,-115,3
69.83,-116,3
70.26,-117,3
70.49,-118,3
70.63,-119,3
70.63,-120,3
70.59,-121,3
70.46,-122,3
70.45,-123,3
70.45,-124,3
70,-124.73,3
69.55,-124,3
69.72,-123,3
69.72,-122,3
69.61,-121,3
69,-120.25,3
68.24,-121,3
68,-121.77,3
67.18,-123,3
66.83,-124,3
66.83,-125,3
67,-125.68,3
66,-127,3
65.85,-128,3
65.92,-129,3
67,-129.44,3
67.57,-130,3
68,-130.41,3
68.42,-130,3
69,-129.28,3
69.91,-128,3
70.45,-127,3
70,-126.81,3
69.66,-126,3
70,-125.19,3
70.77,-126,3
71,-126.51,3
71.37,-128,3
71.66,-129,3
71.9,-130,3
72.07,-131,3
72.24,-132,3
72.39,-133,3
72.51,-134,3
72.61,-135,3
72.7,-136,3
72.79,-137,3
72.87,-138,3
72.93,-139,3
72.97,-140,3
72.99,-141,3
72.99,-142,3
72.96,-143,3
72.91,-144,3
72.82,-145,3
72.69,-146,3
72.51,-147,3
72.29,-148,3
72,-148.98,3
71.79,-150,3
71.54,-151,3
71.21,-152,3
70.77,-152,3
70.59,-151,3
70.42,-150,3
70.31,-149,3
70,-148.65,3
69,-148.28,3
68,-148.11,3
67.37,-149,3
67.77,-150,3
68,-150.36,3
68.82,-151,3
69,-151.68,3
68.77,-153,3
69,-153.61,3
69.62,-154,3
70,-154.27,3
70.31,-155,3
70.14,-156,3
70.35,-157,3
70.67,-158,3
70.69,-159,3
71,-159.83,3
71.21,-161,3
71.17,-162,3
71.11,-163,3
71.1,-164,3
71.08,-165,3
71,-165.83,3
